"Q34504","vanillaninja","1"
"Q6167905","jaynemiddlemiss","1"
"Q983731","Colly622","2"
"Q4970966","BritishRedCross","2"
"Q1096102","classicbrits","1"
"Q547341","AnimalLogic","1"
"Q2749198","KeshiaChante","2"
"Q7373128","roymasters","1"
"Q7519310","SimonMayMusic","1"
"Q909560","Drukair","1"
"Q196105","engadget","2"
"Q1428002","McNeutrino","2"
"Q5405041","DeGraziaGallery","1"
"Q3567504","westsmagpies","1"
"Q7100031","Orbitband","1"
"Q2686162","americanjazzkc","1"
"Q863396","ChenMusic","2"
"Q253785","Lisa_Jakub","1"
"Q1365614","EMI_Records_JP","1"
"Q388323","TOMMY_ARMY","2"
"Q5944942","tulelakenps","1"
"Q449863","JeremySisto","2"
"Q250041","MichaelHurstNow","1"
"Q342686","stefanolsdal","1"
"Q356086","mrDaveKrumholtz","2"
"Q2304651","WisdenAlmanack","1"
"Q1071829","THoffman51","2"
"Q471576","markojaric","2"
"Q2501704","RealPFielder28","2"
"Q6394346","KerrangTV","2"
"Q531474","CA_Schwartzel","2"
"Q23547","BryanCranston","2"
"Q659212","FCSG_1879","1"
"Q7627184","Varneyco","2"
"Q4645737","Metrolink91","1"
"Q14031868","DJTrevorNelson","2"
"Q5028425","Campmor","2"
"Q776721","TheCelticManor","1"
"Q251976","JUVENTUDGUERRE2","1"
"Q3017262","dave_spector","2"
"Q234653","sherylsandberg","2"
"Q860940","TashiroMarcy","1"
"Q1142714","stxsports","1"
"Q7750342","themarkinside","1"
"Q278957","TorontoMarlies","2"
"Q942668","yingyangtwins","2"
"Q459463","CVBelieve","2"
"Q3345518","Suriya_offl","2"
"Q7199281","PFTC_","1"
"Q215447","CMPunk","2"
"Q7093335","OneVo1ce","1"
"Q7440875","TheMayorsOffice","2"
"Q312706","magnapop","1"
"Q7383385","rutillia","1"
"Q15512825","THE_FLOACIST","2"
"Q482607","withMBC","2"
"Q7228978","POPTV_UK","1"
"Q1356611","scottkazmir19","2"
"Q1626808","AeMarika","1"
"Q8000020","Kosmikat","1"
"Q444027","SoyElChapu","2"
"Q362157","HLundqvist30","2"
"Q1493857","GarageGames","1"
"Q550596","vocaloid_yamaha","1"
"Q672357","MichaelPareFC","1"
"Q969305","EfrenRamirez","1"
"Q602482","ADFPCienciano","1"
"Q6635124","adultswim","2"
"Q230335","kateesackhoff","2"
"Q1837039","nataliebassing","2"
"Q669334","TheRealJRSmith","2"
"Q840526","avexsebofficial","1"
"Q3091483","FCM_online","1"
"Q381721","_AnthonyParker","2"
"Q6666401","lodi1brad","1"
"Q3191486","KPRIFM","1"
"Q2725555","CTNurhaliza11","2"
"Q4772746","AHousefather","1"
"Q4353877","LaceyTurner","2"
"Q1071061","ishiikazuhisa16","2"
"Q272108","JamieLuner","2"
"Q6207273","jock4twenty","1"
"Q287835","TheAndreaParker","2"
"Q427035","tomharrell","1"
"Q220308","Sethrogen","2"
"Q1850424","Microids_off","1"
"Q584152","arstechnica","2"
"Q689514","StewartHosieMP","1"
"Q3991382","TimWheeler1977","2"
"Q3776690","NTGreysCourt","1"
"Q242523","kellylynch","2"
"Q3106705","GPBmadeit","2"
"Q704859","ArshadWarsi","2"
"Q316756","BaruchelNDG","2"
"Q1777824","Oreca","1"
"Q370165","DreamGirlGroup","1"
"Q467964","divyadutta25","2"
"Q5387705","ericwareheim","2"
"Q5205376","TheReal45King","1"
"Q7176204","OborneTweets","1"
"Q485718","Soribada","1"
"Q4910509","BillPlaschke","2"
"Q158450","Ayeshatakia","2"
"Q925638","760kfmb","1"
"Q3191394","kgon","2"
"Q6709510","LyntonKCrosby","1"
"Q7185630","PhillipBuchanon","2"
"Q1001910","REALbuffbagwell","1"
"Q7340535","RobSchrab","2"
"Q7836285","trapj99","2"
"Q7786162","itvthismorning","2"
"Q5331927","Ebz_1983","1"
"Q12859526","richeisen","2"
"Q534520","CynthiaDale","1"
"Q3177047","JennyAnneDale","1"
"Q365888","Szatyor39","1"
"Q754339","brommapojkarna","1"
"Q945831","sebastianrulli","2"
"Q6545559","LiffeyChamp","1"
"Q7608226","GGFrankenstein","1"
"Q6462997","shuDiplomacy","1"
"Q272003","ShereeJWilson","1"
"Q59465","BarneysNY","2"
"Q1150860","Ciroc","2"
"Q973417","LODGERtheBand","1"
"Q305510","krle12","2"
"Q7864046","UCLA_TFT","1"
"Q17144084","IBLMapleLeafs","1"
"Q443292","4everBrooke","2"
"Q5342827","edwardfcox","1"
"Q1163447","KonKanOfficial","1"
"Q7684084","sturtze56","2"
"Q335136","ToryBelleci","2"
"Q2411776","screamqueendaff","1"
"Q259295","VASTAIRE2090","1"
"Q2662155","AxlRottenECW","1"
"Q35709","MsAvyScott","1"
"Q5115638","chucknicecomic","1"
"Q461834","CincyTennis","2"
"Q5228692","InstantDave","1"
"Q7548096","THEREALMDEEZY","1"
"Q1526999","GiroRosaCycling","1"
"Q2355089","FoxdaleAFC","1"
"Q517896","conexionrae","1"
"Q322099","RealDeronMiller","1"
"Q440543","RealJodieKidd","2"
"Q683235","RyanCarnes1","2"
"Q503706","prattprattpratt","2"
"Q3183208","JonLee321","2"
"Q7606172","cards17","1"
"Q3270095","RealJCW","1"
"Q4115624","Rialisms","1"
"Q7722699","ChrisMoylesShow","1"
"Q2109830","NormanSmiley1","1"
"Q6748294","MandyHager","1"
"Q1451933","loosewomen","2"
